"Batter","Total_PA","Total_AB","Walks","xOBP","xBA","xSLG","K_percentage","BB_percentage","Strikeouts","Hits","Singles","Doubles","Triples","HomeRuns","xHomeRuns","x1B","x2B","x3B","Errors","OBP","BA","SLG","OPS","xOPS","wOBA","xWOBA","xBA_plus","xOBP_plus","xSLG_plus","xOPS_plus","K_percentage_plus","BB_percentage_plus","wOBA_plus","xWOBA_plus"
"Jakob Goldfarb",269,248,19,0.31273390146759,0.262602497962829,0.54822231087909,0.230483271375465,0.0706319702602231,62,67,38,17,0,12,17.9850022988033,31.7550963718382,13.8919349414573,1.49338588268277,1,0.319702602230483,0.270161290322581,0.483870967741935,0.803573569972419,0.86095621234668,0.337619519792194,0.350483471432683,108.486114562293,107.713678776747,140.898831651716,126.717898063972,104.975339107909,105.194893405439,113.907707179827,119.722008785622
"Marc-antoine Lebreux",269,233,35,0.355434263317894,0.260136552929242,0.42020724696914,0.215613382899628,0.130111524163569,58,59,36,12,5,6,7.55997412706683,39.5744574748935,12.3382211310105,1.13916409954263,3,0.349442379182156,0.253218884120172,0.424892703862661,0.774335083044817,0.775641510287034,0.341514153335682,0.345201572488852,107.467385504141,122.420792519166,107.997629747312,114.161046084839,98.2027365848182,193.780066799493,115.221697489147,117.917759503414
"Joe Deluca",257,241,13,0.299783739864222,0.265744486079274,0.557257074346302,0.299610894941634,0.0505836575875486,77,55,28,13,0,14,18.3289248132462,31.8064102831073,12.5504127648879,1.35867328386369,2,0.264591439688716,0.228215767634855,0.45643153526971,0.721022974958425,0.857040814210524,0.29541196243055,0.343966192070244,109.784129948279,103.253306746384,143.220859762426,126.141619021226,136.460035078582,75.3361749413925,99.6675172533527,117.495764638077
"Noah Myers",282,251,30,0.33690130491956,0.25898871708094,0.461265091659521,0.24468085106383,0.106382978723404,69,73,36,19,5,13,11.1744878292508,37.9927137022119,14.4300263802354,1.40894007561802,5,0.365248226950355,0.290836653386454,0.561752988047809,0.927001214998163,0.798166396579081,0.386152700552278,0.343517214162993,106.993192561181,116.037560262181,118.54992255301,117.476320664574,111.441733538201,158.440236988035,130.282066535376,117.342397813853
"Dakota Phillips",283,259,22,0.321307391473755,0.266138964428852,0.494222294991317,0.303886925795053,0.0777385159010601,86,68,33,24,0,11,13.3396458360184,38.125686461219,15.874673872047,1.5899856177882,0,0.318021201413428,0.262548262548263,0.482625482625483,0.80064668403891,0.815529686465072,0.337126985229266,0.341165516394611,109.94709649946,110.666611427112,127.020266338384,120.031897320245,138.407585485146,115.778943495144,113.741533485828,116.539078959083
"Sicnarf Loopstok",224,210,10,0.315901392300921,0.289342437501935,0.513937112662386,0.1875,0.0446428571428571,42,54,35,12,0,7,10.1886406085186,35.339097701753,13.8693871721302,1.36478639300449,3,0.285714285714286,0.257142857142857,0.414285714285714,0.7,0.829838504963307,0.294963146263495,0.340340150619155,119.532895026045,108.804644893783,132.087179378873,122.13790849465,85.3982849395994,66.4883137360504,99.5160934832877,116.257141416589
"Aj Wright",286,275,10,0.30844165899067,0.284415688986661,0.520197930105146,0.258741258741259,0.034965034965035,74,76,46,21,1,8,14.5105575817294,44.1818337332559,17.7354027502975,1.78652040604888,2,0.300699300699301,0.276363636363636,0.447272727272727,0.747972027972028,0.828639589095817,0.314441669815611,0.33949895841723,117.49756098317,106.23531897878,133.696274531267,121.961448767076,117.845651944622,52.0747632058577,106.087852007307,115.969797708831
"Jamey Smart",299,284,10,0.322185588722293,0.303991165591428,0.487599784579338,0.17056856187291,0.0334448160535117,51,92,64,21,0,7,9.66386665990096,55.3217407921592,19.5425193389473,1.80536423695817,0,0.341137123745819,0.323943661971831,0.471830985915493,0.812968109661312,0.809785373301631,0.34374184984759,0.336347244755952,125.584564777997,110.969085370256,125.318212333773,119.186433544673,77.6867341256557,49.8106430664725,115.973288517178,114.893200603972
"David Glaude",292,258,30,0.341704547271812,0.270456309315384,0.423872265893374,0.188356164383562,0.102739726027397,55,63,37,15,3,8,7.3522291153267,46.2959544822236,14.7344589604959,1.39508524532271,3,0.318493150684932,0.244186046511628,0.418604651162791,0.737097801847722,0.765576813165185,0.319261538901572,0.334880702343519,111.730674247572,117.691921690185,108.939577701926,112.679696341795,85.7882314461729,153.014201474746,107.714002760755,114.392242875871
"Juan Kelly",275,253,21,0.324888769440465,0.270136014213944,0.452672642366297,0.167272727272727,0.0763636363636364,46,61,40,12,1,8,9.39593901064148,42.3940729702367,15.1148493398788,1.43955027537098,2,0.298181818181818,0.241106719367589,0.391304347826087,0.689486166007905,0.777561411806762,0.299569376001497,0.33231627212625,111.598354215059,111.900131023401,116.341573782051,114.443622459317,76.1856214733881,113.731282841593,101.070165559814,113.516256525511
"Malik Williams",140,133,6,0.303124306373534,0.273965435280412,0.50667294606603,0.164285714285714,0.0428571428571429,23,36,23,7,0,6,7.08543639089412,20.457966202754,8.09421083548832,0.799789463158272,2,0.3,0.270676691729323,0.458646616541353,0.758646616541353,0.809797252439563,0.317136386289961,0.332240249938849,113.180361300852,104.403884621785,130.220213066048,119.188181948794,74.8251639470776,63.8287811866084,106.997008489971,113.490288028478
"Josh Sears",277,255,21,0.308221288043076,0.252459987403655,0.488388250192194,0.28158844765343,0.075812274368231,78,64,42,12,0,10,14.0968367861727,33.9226561111221,14.8444111287153,1.51339276192202,3,0.306859205776173,0.250980392156863,0.415686274509804,0.722545480285977,0.79660953823527,0.31170115544334,0.332197877962213,104.296049460066,106.159417500401,125.520856190916,117.24717798103,128.251575938171,112.910118344542,105.163244008247,113.475814141483
"Steve Brown",268,242,22,0.317705400524613,0.260929947688414,0.453530097299132,0.175373134328358,0.082089552238806,47,64,42,13,1,8,10.2930296150221,38.4202317572371,13.1334245759467,1.29836139239037,4,0.32089552238806,0.264462809917355,0.425619834710744,0.746515357098803,0.771235497823745,0.321493201537168,0.327042065820429,107.795152053981,109.425992184261,116.561948611446,113.512557079027,79.8750127793268,122.259108243006,108.466931898786,111.714634979417
"Jairus Richards",310,274,35,0.332591706451871,0.248552660584234,0.405790400475067,0.216129032258065,0.112903225806452,67,79,54,9,0,16,8.58157832889366,43.5747025827525,14.5558904334607,1.39125765497328,2,0.367741935483871,0.288321167883212,0.496350364963504,0.864092300447375,0.738382106926938,0.37149678916614,0.326709808025716,102.681858017667,114.55322261018,104.292350361912,108.677104846945,98.437592962635,168.151090222786,125.337384238413,111.601138698252
