"Batter","Total_PA","Total_AB","Walks","xOBP","xBA","xSLG","K_percentage","BB_percentage","Strikeouts","Hits","Singles","Doubles","Triples","HomeRuns","xHomeRuns","x1B","x2B","x3B","Errors","OBP","BA","SLG","OPS","xOPS","wOBA","xWOBA","xBA_plus","xOBP_plus","xSLG_plus","xOPS_plus","K_percentage_plus","BB_percentage_plus","wOBA_plus","xWOBA_plus","Hard_Hit_Percentage","Avg_ExitSpeed","Avg_Angle"
"Christian Fedko",217,181,33,0.380990180729224,0.274446791261003,0.385044416220595,0.0875576036866359,0.152073732718894,19,56,38,12,2,4,2.42701474277621,35.62181685032,10.5149493609333,1.11108826421203,2,0.410138248847926,0.30939226519337,0.464088397790055,0.874226646637982,0.766034596949819,0.398831955889723,0.361128237976405,113.379218663066,131.22291427818,98.9604167924208,112.747074215518,39.8787690040526,226.489223565385,134.559855050462,123.358165516377,0.155,83.8457532232457,26.8422109035512
"Hank Zeisler",184,159,24,0.355523336879997,0.26047983638943,0.447971080686183,0.217391304347826,0.130434782608696,40,44,23,13,3,5,6.38089564365139,25.4428657079507,8.51664435640523,1.07588827791214,0,0.369565217391304,0.276729559748428,0.490566037735849,0.860131255127153,0.80349441756618,0.380154552277288,0.361040816919575,107.609202467339,122.451471767597,115.133223566234,118.260513415197,99.0125042777964,194.261507959243,128.258382247959,123.328303267835,0.34375,88.4417542974111,19.9893456602429
"L-p Pelletier",122,108,12,0.336766251910775,0.269310025306617,0.483564818044659,0.180327868852459,0.0983606557377049,22,36,25,9,0,2,5.2061384642436,17.1685968695208,5.90039257572262,0.810354823627586,1,0.39344262295082,0.333333333333333,0.472222222222222,0.865664845173042,0.820331069955435,0.388907318470913,0.355871581322268,111.257122399206,115.991044498019,124.281183998354,120.738578118842,82.1316838763361,146.492284690577,131.211432857149,121.562538773818,0.376623376623377,87.3878362027947,17.287815383664
"Tommy Seidl",131,119,10,0.324536240285864,0.273228970398725,0.507478646784346,0.297709923664122,0.0763358778625954,39,25,13,6,0,6,6.17789384518522,18.0328515711313,7.26497416793011,1.03852789320155,2,0.267175572519084,0.210084033613445,0.411764705882353,0.678940278401437,0.83201488707021,0.292714530083815,0.354118789258045,112.876113572267,111.778710825783,130.427286524423,122.458234385811,135.594223415547,113.68994104485,98.7574444765227,120.96380073332,0.43010752688172,89.70766330294,22.2598889289399
"John Cristino",241,225,16,0.314991051631045,0.266279304191475,0.516737911572212,0.336099585062241,0.0663900414937759,81,66,36,14,2,14,13.5474015307948,32.3988926722809,12.2221164117309,1.74443282827525,1,0.340248962655602,0.293333333333333,0.56,0.900248962655602,0.831728963203258,0.380691042227624,0.352846357703519,110.005073539601,108.491099921421,132.807013807817,122.416151326409,153.079083377207,98.8772267344418,128.439385823242,120.529149532431,0.39010989010989,88.6531477552444,19.0363163394532
"Alec Craig",249,197,47,0.382575137470045,0.2449807575129,0.336180213984727,0.164658634538153,0.188755020080321,41,55,42,10,1,2,2.01044922499133,35.3347389274549,9.89709690521431,1.0189241723808,2,0.409638554216867,0.279187817258883,0.370558375634518,0.780196929851385,0.718755351454772,0.377191749657469,0.352092087746395,101.206236541069,131.768814548201,86.4018089649014,105.788385114649,74.9950132802908,281.12006707355,127.258777564386,120.271497683502,0.13855421686747,84.7200490318349,24.4414315656034
"Jake Mackenzie",173,147,25,0.364750006428953,0.259195585797339,0.378698653725375,0.132947976878613,0.144508670520231,23,36,21,11,1,3,2.52128164065043,26.5207178288695,8.1163972219077,0.94335442078116,8,0.352601156069364,0.244897959183673,0.394557823129252,0.747158979198616,0.743448660154328,0.346207758542363,0.349785220977436,107.07865398459,125.629376418521,97.3294898786986,109.422814055145,60.5521557953229,215.222287238082,116.805248724068,119.483492695845,0.316239316239316,85.8380287409519,21.2672450564134
"Austin Dennis",286,267,18,0.350232526888083,0.307739710449407,0.409643635821434,0.0769230769230769,0.0629370629370629,22,88,65,19,1,3,2.46151664897359,61.5510849350451,16.4840040845356,1.66989702143742,3,0.370629370629371,0.329588014981273,0.441947565543071,0.812576936172442,0.759876162709516,0.366526142009244,0.344544752591112,127.133160355188,120.62917938016,105.282671893174,111.840658963378,35.0351938213741,93.7345737705438,123.660363249844,117.693395720305,0.284090909090909,86.277416196713,18.20475880979
"Brendan O'donnell",128,116,10,0.325664652725159,0.273147203007072,0.452490440556971,0.203125,0.078125,26,35,23,6,0,6,4.36021243237542,20.3917478807503,6.14305221272721,0.790063022967424,1,0.3515625,0.301724137931034,0.508620689655172,0.860183189655172,0.77815509328213,0.371896662251346,0.340024601289123,112.842333898855,112.167365379842,116.294746023404,114.531002128108,92.514808684566,116.354549038088,125.472295354709,116.149352597025,0.230088495575221,83.6271600470692,21.9175894232897
"Steve Barmakian",208,184,20,0.353271429917409,0.290654659906636,0.383338025949488,0.115384615384615,0.0961538461538462,24,62,49,9,3,1,1.71647113308597,40.8553629165019,9.91292079383953,0.995702579393669,1,0.394230769230769,0.33695652173913,0.434782608695652,0.829013377926421,0.736609455866897,0.377951481516081,0.339361790868633,120.074999199585,121.675856517491,98.5218567579794,108.416201199224,52.5527907320612,143.205598816109,127.515099574852,115.9229425051,0.175141242937853,83.3145896544165,19.2090035612575
"Kyle Crowl",164,141,22,0.336143592905706,0.234947157705928,0.403696297129767,0.286585365853659,0.134146341463415,47,34,21,8,1,4,5.19066319844759,20.5766886661942,6.49875568036943,0.861441691524552,3,0.341463414634146,0.24113475177305,0.397163120567376,0.738626535201522,0.739839890035473,0.339219503583648,0.33760695018633,97.0611645536526,115.776584563407,103.754144037843,108.891665365467,130.52745990768,199.789274445888,114.447517453005,115.32350467505,0.311320754716981,84.7640288492707,19.5262342798154
"Victor Nova",225,191,30,0.350028157057192,0.255268771402452,0.374858562671466,0.186666666666667,0.133333333333333,42,43,27,11,2,3,3.3632399589963,33.8310375399597,10.3721854224316,1.18987241648065,1,0.324444444444444,0.225130890052356,0.350785340314136,0.675229784758581,0.724886719728658,0.315153739411252,0.337546351163363,105.456411852038,120.558789101994,96.3425465672081,106.690816723575,85.0187370065346,198.578430358337,106.328093492876,115.302804592588,0.276073619631902,85.7856124118861,21.7729145397237
