"Batter","Total_PA","Total_AB","Walks","xOBP","xBA","xSLG","K_percentage","BB_percentage","Strikeouts","Hits","Singles","Doubles","Triples","HomeRuns","xHomeRuns","x1B","x2B","x3B","Errors","OBP","BA","SLG","OPS","xOPS","wOBA","xWOBA","xBA_plus","xOBP_plus","xSLG_plus","xOPS_plus","K_percentage_plus","BB_percentage_plus","wOBA_plus","xWOBA_plus"
"Carson Mccusker",146,138,7,0.375330804545904,0.346364474374652,0.75791267700944,0.164383561643836,0.0479452054794521,24,54,31,8,0,15,15.0286830073381,22.0841279758284,9.6633700194844,1.02211646105101,3,0.417808219178082,0.391304347826087,0.77536231884058,1.19317053801866,1.13324348155534,0.476741654769772,0.446247001048532,152.034184971722,137.086544227495,207.479752751671,177.322560411655,76.7532243810687,76.1073892610739,154.830853588968,161.752438849853
"Matthew Warkentin",235,225,9,0.343986340788592,0.319274622601418,0.730469817847483,0.285106382978723,0.0382978723404255,67,65,34,12,1,18,24.9104132345998,30.7029839170011,14.6591066408711,1.56428629284701,2,0.314893617021277,0.288888888888889,0.591111111111111,0.906004728132388,1.07445615863607,0.363595807143447,0.420677988541461,140.14329014833,125.638232058307,199.967228147664,168.123902939137,133.120574626882,60.7933796286025,118.08460330276,152.484365064968
"Josh Rehwaldt",165,153,11,0.346449660687157,0.301726758257392,0.71940477267017,0.266666666666667,0.0666666666666667,44,39,20,9,0,10,17.6990968466541,18.6212841106803,8.88018044690055,0.963632609146088,2,0.303030303030303,0.254901960784314,0.509803921568627,0.81283422459893,1.06585443335733,0.334761499188054,0.417975281410622,132.440781805478,126.537939751178,196.938155132771,166.777960981199,124.510786218178,105.825512686827,108.720117383155,151.504707008146
"Brendon Dadson",192,161,29,0.402648559180998,0.300052940141315,0.511519576312203,0.145833333333333,0.151041666666667,28,46,24,18,1,3,6.92035663004304,29.1770092999169,11.1372563321994,1.07390110059227,0,0.390625,0.285714285714286,0.46583850931677,0.85646350931677,0.914168135493201,0.378948799388872,0.396780836624576,131.706071429859,147.064133419809,140.029265165033,143.043076859283,68.0918362130662,239.760927181091,123.070777409262,143.822295415113
"Andrew Czech",263,222,39,0.375558994852261,0.269243313721372,0.57034369281483,0.269961977186312,0.14828897338403,71,51,28,11,0,12,17.4058661317617,29.0220475501987,12.061518164906,1.28258379927821,1,0.342205323193916,0.22972972972973,0.441441441441441,0.783646764635358,0.945902687667091,0.343847752544064,0.395724463893095,118.182408385328,137.169888893443,156.132456888859,148.008692930834,126.049417606806,235.391349512523,111.671049715082,143.439388941231
"Anthony Brocato",275,258,16,0.335350734803497,0.295431984771169,0.650356809284794,0.269090909090909,0.0581818181818182,74,67,28,14,3,22,24.1566572286378,34.6720841122599,15.684788421526,1.70792230853792,2,0.301818181818182,0.25968992248062,0.593023255813954,0.894841437632135,0.985707544088291,0.356283582605784,0.39275478483226,129.677736437481,122.484146735523,178.036169711796,154.237097657891,125.642702456525,92.3568110721395,115.709820324446,142.362960798157
"Trey Hair",138,127,9,0.335284564526416,0.293458818146814,0.605272058777641,0.22463768115942,0.0652173913043478,31,36,23,6,0,7,10.1264930415272,18.7299508094563,7.60484967179041,0.807976381871568,3,0.326086956521739,0.283464566929134,0.496062992125984,0.822149948647723,0.940556623304057,0.343064998454287,0.378221392338129,128.811629195713,122.45997857638,165.694150410834,147.172175592409,104.886803607704,103.5249580632,111.416835545505,137.095000060798
"Brennan Price",265,242,22,0.349050300167752,0.291315411340721,0.560723453713172,0.264150943396226,0.0830188679245283,70,65,30,16,1,18,15.3478332043114,37.6097535671675,15.9282389047518,1.61250386822373,0,0.328301886792453,0.268595041322314,0.566115702479339,0.894417589271792,0.909773753880925,0.365921235498138,0.37650992140131,127.870796255454,127.48780231204,153.498901743562,142.355472640422,123.336156159516,131.782713911897,118.839830066594,136.474638249064
"Aaron Altherr",283,264,19,0.328932560585004,0.280636040324076,0.600840130828286,0.293286219081272,0.0671378091872792,83,70,40,14,1,15,21.3316786705951,34.0243447235173,16.9249386215612,1.80695262988239,2,0.314487632508834,0.265151515151515,0.496212121212121,0.810699753720955,0.92977269141329,0.338272048636799,0.375920398869619,123.183163462115,120.139960451832,164.480903366631,145.48477615416,136.939866467873,106.573396168712,109.860234598165,136.260952314965
"James Nelson",157,144,12,0.344358841957769,0.292113459634512,0.568838295878176,0.229299363057325,0.0764331210191083,36,57,35,12,1,9,9.69075696177474,22.5083988465308,8.9542592243651,0.910923154699124,1,0.439490445859873,0.395833333333333,0.680555555555556,1.12004600141543,0.913197137835945,0.462537691422286,0.375296645272172,128.221093791405,125.774285101076,155.720352178534,142.891141468927,107.063414900981,121.328613271521,150.217848311509,136.034858547632
