"Batter","Total_PA","Total_AB","Walks","xOBP","xBA","xSLG","K_percentage","BB_percentage","Strikeouts","Hits","Singles","Doubles","Triples","HomeRuns","xHomeRuns","x1B","x2B","x3B","Errors","OBP","BA","SLG","OPS","xOPS","wOBA","xWOBA","xBA_plus","xOBP_plus","xSLG_plus","xOPS_plus","K_percentage_plus","BB_percentage_plus","wOBA_plus","xWOBA_plus"
"Matthew Warkentin",271,256,13,0.357648625968039,0.327823350145854,0.663151362034798,0.210332103321033,0.0479704797047971,57,73,39,17,3,14,21.0126108910529,42.7473904187799,17.5194142846006,2.64336204290515,3,0.317343173431734,0.28515625,0.5390625,0.856405673431734,1.02079998800284,0.358862131083962,0.419264689744734,148.180888075912,125.836603665679,197.837642166015,164.800263654231,101.31460619242,56.7108141621847,111.713405111885,148.09643714045
"Tyreque Reed",144,132,10,0.356183675445844,0.312806433819709,0.59434334048038,0.166666666666667,0.0694444444444444,24,42,25,9,1,7,8.29320587067367,22.1453777078388,9.4204773041907,1.43138838149845,1,0.361111111111111,0.318181818181818,0.560606060606061,0.921717171717172,0.950527015926225,0.391733730220943,0.397685540872051,141.393025050353,125.321169284372,177.310176604208,153.45523577208,80.2814569536424,82.097385886496,121.946299454827,140.474056475592
"Isaac Bellony",148,138,9,0.347082016860852,0.307015496343523,0.585958505551367,0.263513513513513,0.0608108108108108,39,44,36,2,1,5,9.3280718793428,23.694000700902,8.18221219766858,1.16385371749275,0,0.358108108108108,0.318840579710145,0.456521739130435,0.814629847238543,0.933040522412219,0.361890753951047,0.391062524273866,138.775437689259,122.118803272312,174.808732639414,150.632176626934,126.931492751029,71.8906838573641,112.656212234665,138.134615102863
"Joe Deluca",237,203,32,0.366130391547767,0.269817255156753,0.53836665662903,0.223628691983122,0.135021097046413,53,52,27,14,0,11,13.3170644005363,28.5191185430476,11.3091044092106,1.62761544402633,3,0.354430379746835,0.25615763546798,0.487684729064039,0.842115108810875,0.904497048176797,0.370746857796517,0.390553106255794,121.961295525606,128.82086390365,160.610678143641,146.024053454041,107.719423254254,159.622259141339,115.413108075453,137.954673897852
"Aj Wright",201,165,34,0.398195807865573,0.279014287157455,0.441548998270875,0.17910447761194,0.169154228855721,36,47,29,10,0,8,4.73247433477331,29.9435759276995,10.1018099076204,1.25949721088699,2,0.402985074626866,0.284848484848485,0.490909090909091,0.893894165535957,0.839744806136448,0.402724731225627,0.38716863205444,126.11848679621,140.102895460845,131.727110460329,135.570304741396,86.2726104576456,199.974528010092,125.367786542675,136.759179540529
"Andrew Czech",235,202,33,0.360650914409434,0.256202796466421,0.513414797333433,0.259574468085106,0.140425531914894,61,54,29,12,0,13,12.5539567807461,26.5036832388652,11.0956959003135,1.59962896629233,1,0.370212765957447,0.267326732673267,0.51980198019802,0.890014746155467,0.874065711742867,0.390264614935085,0.382143503157196,115.807363603097,126.892941515901,153.166801385924,141.111149529077,125.034098915035,166.011394779842,121.48896540682,134.984158404582
"Kyle Fitzgerald",154,132,18,0.373637203022959,0.299546433829815,0.498306300082158,0.155844155844156,0.116883116883117,24,35,20,8,2,5,5.40507627783682,25.1388559821615,7.97132049927579,1.02487650626151,3,0.344155844155844,0.265151515151515,0.46969696969697,0.813852813852814,0.871943503105117,0.35568537620558,0.3819399744341,135.399313578871,131.462092170192,148.659490319424,140.768535356721,75.068375333276,138.179496245323,110.724484649317,134.912266162083
"Brendon Dadson",164,144,17,0.37051325411534,0.30391787274247,0.495307089706051,0.146341463414634,0.103658536585366,24,47,30,15,0,2,4.99228354372956,27.5103301492409,9.93992335232364,1.32163662962165,0,0.390243902439024,0.326388888888889,0.472222222222222,0.862466124661247,0.865820343821391,0.386846033134687,0.379914142879962,137.375267091513,130.362948787505,147.764737261316,139.779998644128,70.4910353739299,122.545366250087,120.424764477002,134.19668375614
"Caleb Mcneely",233,211,19,0.331548339158227,0.276069966937758,0.530607514098691,0.270386266094421,0.0815450643776824,63,59,33,10,2,14,12.327056988451,31.0762475810044,12.9686654232192,1.87879303119235,3,0.334763948497854,0.279620853080569,0.545023696682464,0.879787645180318,0.862155853256919,0.371107637820205,0.365249764314386,124.787611540557,116.65336847791,158.295896705626,139.188394982019,130.242020293892,96.402767289894,115.525418518522,129.016800327934
"Christian Fedko",217,181,33,0.380990180729224,0.274446791261003,0.385044416220595,0.0875576036866359,0.152073732718894,19,56,38,12,2,4,2.42701474277621,35.62181685032,10.5149493609333,1.11108826421203,2,0.410138248847926,0.30939226519337,0.464088397790055,0.874226646637982,0.766034596949819,0.398831955889723,0.361128237976405,124.053912695805,134.04919491351,114.870124371809,123.670361509881,42.1755119479965,179.78192522241,124.155969662482,127.560957798941
