"batter","total_pa","total_ab","xobp","xba","xslg","k_percentage","bb_percentage","homeruns","xhomeruns","x1b","x2b","x3b","obp","ba","slg","ops","xops","woba","xwoba","xba_plus","xobp_plus","xslg_plus","xops_plus","k_percentage_plus","bb_percentage_plus","woba_plus","xwoba_plus","hard_hit_percentage","avg_exitspeed","avg_angle","p_2025_a_plus","p_2025_aa","p_2026_a_plus","p_2026_aa","p_2026_aaa","p_2026_mlb","p_2027_a_plus","p_2027_aa","p_2027_aaa","p_2027_mlb","p_2025_other","p_2026_other","p_2027_other"
"Matthew Warkentin",271,256,0.357648625968039,0.327823350145854,0.663151362034798,0.210332103321033,0.0479704797047971,14,21.0126108910529,42.7473904187799,17.5194142846006,2.64336204290515,0.317343173431734,0.28515625,0.5390625,0.856405673431734,1.02079998800284,0.358862131083962,0.419264689744734,135.430096042544,123.183476532871,170.436792273408,150.244143625925,95.7973380872259,71.444269224863,121.074642161095,143.217055754257,0.452914798206278,89.9752290977002,17.7665926838579,0.319967015067228,0.661565434240904,0.276231951283418,0.267993408234205,0.088991743753829,0.34943648147677,0.00166443198037517,0.570988789167656,0.0669920411282257,0.207938996878065,0.0184675506918676,0.0173464152517776,0.152415740845678
"Tyreque Reed",144,132,0.356183675445844,0.312806433819709,0.59434334048038,0.166666666666667,0.0694444444444444,7,8.29320587067367,22.1453777078388,9.4204773041907,1.43138838149845,0.361111111111111,0.318181818181818,0.560606060606061,0.921717171717172,0.950527015926225,0.391733730220943,0.397685540872051,129.226320687897,122.678909521649,152.752415601949,139.901174744866,75.9095866129773,103.426265811634,132.165021329138,135.84581213937,0.490384615384615,90.2692339544252,20.4098403790985,0.263508688702213,0.728217838337761,0.241593568933121,0.226029207613814,0.211385631173077,0.311565063269275,0.00173643016471135,0.472652028988075,0.1062721849108,0.321279044586274,0.0082734729600267,0.0094265290107133,0.0980603113501393
"Isaac Bellony",148,138,0.347082016860852,0.307015496343523,0.585958505551367,0.263513513513513,0.0608108108108108,5,9.3280718793428,23.694000700902,8.18221219766858,1.16385371749275,0.358108108108108,0.318840579710145,0.456521739130435,0.814629847238543,0.933040522412219,0.361890753951047,0.391062524273866,126.833973656401,119.544061893813,150.59742588036,137.327464641114,120.019211266464,90.5678651972146,122.096453598166,133.583449100925,0.396396396396396,87.8848492234712,16.6752240443644,0.437353651332176,0.52183287261018,0.348315251427354,0.414087313057038,0.0908083656601032,0.122105452915431,0.011722169084381,0.453840792652888,0.0571789174469562,0.242627710385066,0.0408134760576437,0.0246836169400734,0.234630410430709
"Joe Deluca",237,203,0.366130391547767,0.269817255156753,0.53836665662903,0.223628691983122,0.135021097046413,11,13.3170644005363,28.5191185430476,11.3091044092106,1.62761544402633,0.354430379746835,0.25615763546798,0.487684729064039,0.842115108810875,0.904497048176797,0.370746857796517,0.390553106255794,111.466668751804,126.104816908274,138.365826078174,133.126357771002,101.853369379438,201.092081375531,125.084368764341,133.409436477203,0.43046357615894,90.218524983075,21.0134294669185,0.386356335889283,0.58669340244251,0.326122536817044,0.364172339991341,0.112425322070411,0.17715685161578,0.00627459261586453,0.479542788907688,0.0671985133183393,0.259633962561988,0.0269502616682068,0.0201229495054248,0.18735014259612
"Aj Wright",201,165,0.398195807865573,0.279014287157455,0.441548998270875,0.17910447761194,0.169154228855721,8,4.73247433477331,29.9435759276995,10.1018099076204,1.25949721088699,0.402985074626866,0.284848484848485,0.490909090909091,0.893894165535957,0.839744806136448,0.402724731225627,0.38716863205444,115.266138577877,137.148979171753,113.482681639845,123.595945087274,81.5744811363338,251.927859409831,135.873218428717,132.253330460526,0.345588235294118,86.7866239165695,21.4708339454031,0.354435628350706,0.630047218290682,0.291852464921992,0.329154540882852,0.241823243649992,0.12527356246317,0.0093258287279326,0.373676589897206,0.0964203476638052,0.388822555796601,0.0155171533586118,0.0118961880819942,0.131754677914455
"Andrew Czech",235,202,0.360650914409434,0.256202796466421,0.513414797333433,0.259574468085106,0.140425531914894,13,12.5539567807461,26.5036832388652,11.0956959003135,1.59962896629233,0.370212765957447,0.267326732673267,0.51980198019802,0.890014746155467,0.874065711742867,0.390264614935085,0.382143503157196,105.842275470549,124.217542655073,131.952938910831,128.647390161633,118.225143405743,209.141112824206,131.669364105592,130.536791522112,0.426666666666667,89.7534429070231,23.5709216332178,0.324152946526602,0.661636355634649,0.288244200589522,0.298833331120791,0.187601302435499,0.21215742452526,0.00409797082597904,0.452135038134717,0.0918444627091044,0.320396826776844,0.0142106978387494,0.0131637413289291,0.131525701553355
"Kyle Fitzgerald",154,132,0.373637203022959,0.299546433829815,0.498306300082158,0.155844155844156,0.116883116883117,5,5.40507627783682,25.1388559821615,7.97132049927579,1.02487650626151,0.344155844155844,0.265151515151515,0.46969696969697,0.813852813852814,0.871943503105117,0.35568537620558,0.3819399744341,123.74836107533,128.690357766115,128.069898092401,128.335037670331,70.9803926770696,174.078494145296,120.002853229307,130.467267936662,0.315315315315315,86.9638963113336,18.0290162281943,0.420917540086061,0.540557996262346,0.340480629536455,0.396564779763674,0.0800400812237271,0.157851830552077,0.00766071505190172,0.488978569439389,0.0544430050649353,0.223726584860305,0.0385244636515931,0.0250626789240669,0.225191125583468
"Brendon Dadson",164,144,0.37051325411534,0.30391787274247,0.495307089706051,0.146341463414634,0.103658536585366,2,4.99228354372956,27.5103301492409,9.93992335232364,1.32163662962165,0.390243902439024,0.326388888888889,0.472222222222222,0.862466124661247,0.865820343821391,0.386846033134687,0.379914142879962,125.55428610026,127.614388619274,127.299069854503,127.433814283105,66.6523199528581,154.382621162732,130.51598643676,129.775262056524,0.45045045045045,89.970396947303,14.5444401144846,0.393554205907022,0.5830645593602,0.320622302850541,0.374455824343649,0.172858744588435,0.116097367526829,0.0119406998438709,0.399602214448977,0.0799747505967339,0.338914985050452,0.023381234732778,0.0159657606905448,0.169567350059966
"Caleb Mcneely",233,211,0.331548339158227,0.276069966937758,0.530607514098691,0.270386266094421,0.0815450643776824,14,12.327056988451,31.0762475810044,12.9686654232192,1.87879303119235,0.334763948497854,0.279620853080569,0.545023696682464,0.879787645180318,0.862155853256919,0.371107637820205,0.365249764314386,114.049783580724,114.19385981329,136.371645805958,126.894464505327,123.149458110324,121.448181656923,125.206090474389,124.766041929005,0.415730337078652,87.0104288354802,22.8552803951407,0.3018735850304,0.684058260985124,0.26962173975469,0.259095317829963,0.125955560305421,0.331028275926886,0.00181159093412248,0.535983754058377,0.0808847013657069,0.248404042638798,0.0140681539844761,0.0142991061830392,0.132915911002996
"Christian Fedko",217,181,0.380990180729224,0.274446791261003,0.385044416220595,0.0875576036866359,0.152073732718894,4,2.42701474277621,35.62181685032,10.5149493609333,1.11108826421203,0.410138248847926,0.30939226519337,0.464088397790055,0.874226646637982,0.766034596949819,0.398831955889723,0.361128237976405,113.379218663066,131.22291427818,98.9604167924208,112.747074215518,39.8787690040526,226.489223565385,134.559855050462,123.358165516377,0.155,83.8457532232457,26.8422109035512,0.396294464414689,0.582379542545386,0.308587144101713,0.372663206398711,0.213615580990728,0.0914954892921129,0.0162096550755555,0.355136113376673,0.0859756851310751,0.387458964071773,0.0213259930399256,0.0136385792167351,0.155219582344923
"Hank Zeisler",184,159,0.355523336879997,0.26047983638943,0.447971080686183,0.217391304347826,0.130434782608696,5,6.38089564365139,25.4428657079507,8.51664435640523,1.07588827791214,0.369565217391304,0.276729559748428,0.490566037735849,0.860131255127153,0.80349441756618,0.380154552277288,0.361040816919575,107.609202467339,122.451471767597,115.133223566234,118.260513415197,99.0125042777964,194.261507959243,128.258382247959,123.328303267835,0.34375,88.4417542974111,19.9893456602429,0.373530310320113,0.604330694273287,0.318128196640385,0.353889950598093,0.147354315947033,0.163557679804793,0.00698392966240523,0.449135311257237,0.0771146082055737,0.298993696340216,0.0221389954066006,0.0170698570096954,0.167772454534568
"L-p Pelletier",122,108,0.336766251910775,0.269310025306617,0.483564818044659,0.180327868852459,0.0983606557377049,2,5.2061384642436,17.1685968695208,5.90039257572262,0.810354823627586,0.39344262295082,0.333333333333333,0.472222222222222,0.865664845173042,0.820331069955435,0.388907318470913,0.355871581322268,111.257122399206,115.991044498019,124.281183998354,120.738578118842,82.1316838763361,146.492284690577,131.211432857149,121.562538773818,0.376623376623377,87.3878362027947,17.287815383664,0.392217367509844,0.58508626064082,0.318649701929871,0.371397586906002,0.181999392274499,0.112464772410105,0.0124036597799386,0.392290560587288,0.082100981550082,0.346702604693388,0.022696371849336,0.0154885464795233,0.166502193389303
"Tommy Seidl",131,119,0.324536240285864,0.273228970398725,0.507478646784346,0.297709923664122,0.0763358778625954,6,6.17789384518522,18.0328515711313,7.26497416793011,1.03852789320155,0.267175572519084,0.210084033613445,0.411764705882353,0.678940278401437,0.83201488707021,0.292714530083815,0.354118789258045,112.876113572267,111.778710825783,130.427286524423,122.458234385811,135.594223415547,113.68994104485,98.7574444765227,120.96380073332,0.43010752688172,89.70766330294,22.2598889289399,0.504065803097063,0.330391383812828,0.349102905737548,0.452625663343945,0.0113558325322513,0.12046410685485,0.00753002080129189,0.487029506499148,0.0156558642292621,0.0714171571323679,0.165542813090109,0.0664514915314054,0.41836745133793
"John Cristino",241,225,0.314991051631045,0.266279304191475,0.516737911572212,0.336099585062241,0.0663900414937759,14,13.5474015307948,32.3988926722809,12.2221164117309,1.74443282827525,0.340248962655602,0.293333333333333,0.56,0.900248962655602,0.831728963203258,0.380691042227624,0.352846357703519,110.005073539601,108.491099921421,132.807013807817,122.416151326409,153.079083377207,98.8772267344418,128.439385823242,120.529149532431,0.39010989010989,88.6531477552444,19.0363163394532,0.276254834595428,0.713168624566395,0.250389336775174,0.231115498664335,0.152783161885271,0.353967334455272,0.00147348469571757,0.52370550996546,0.0925821416422687,0.267851499406182,0.0105765408381771,0.0117446682199472,0.114387364290371
